CntryName,CntryIso,CatalogID,IDNumber,Latitude,Longitude,FlrVolume,AvgTemp,Ellip,DtcFreq,ClrObs,FlrType
Algeria,DZA,VNF_e2012-2015_n14963_x0069821E_y368688N_v1.0,-9999,36.868815,6.982058,0.064512,1699.64,1.91069,98.0892,314,refinery
Algeria,DZA,VNF_e2012-2015_n14172_x0003048W_y358292N_v1.0,-9999,35.829178,-0.304793,0.035816,1703.64,1.82227,95.1662,331,refinery
Algeria,DZA,VNF_e2012-2015_n14171_x0003246W_y358234N_v1.0,-9999,35.823400,-0.324599,0.017937,1760.91,1.85272,53.9634,328,refinery
Algeria,DZA,VNF_e2012-2015_n14824_x0031174E_y366726N_v1.0,-9999,36.672649,3.117397,0.001447,1711.17,1.6015,7.57576,330,refinery
